Zeit,Bodenfeuchtigkeit,Luxwert,TopfBeruehrt
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:7,zu feucht,50.0,false
16:39:8,zu feucht,50.0,false
16:39:8,zu feucht,50.0,false
16:39:8,zu feucht,50.0,false
16:39:8,zu feucht,50.0,false
16:39:8,zu feucht,50.0,false
16:39:8,zu feucht,50.0,false
16:39:8,zu feucht,50.0,false
16:39:8,zu feucht,50.0,false
16:39:8,zu feucht,50.0,false
16:39:8,zu feucht,50.0,false
16:39:8,zu feucht,50.0,false
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:8,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
16:39:9,perfekt,500.0,true
